Age,Indicator,County,Value
Adolescents (10-19),HIV-related Deaths,Nyeri,16
Adolescents (10-19),HIV-related Deaths,Nyandarua,12
Adolescents (10-19),HIV-related Deaths,Kiambu,43
Adolescents (10-19),HIV-related Deaths,Murang’a,22
Adolescents (10-19),HIV-related Deaths,Kirinyaga,11
Adolescents (10-19),HIV-related Deaths,West Pokot,11
Adolescents (10-19),HIV-related Deaths,Turkana,42
Adolescents (10-19),HIV-related Deaths,Trans Nzoia,52
Adolescents (10-19),HIV-related Deaths,Narok,33
Adolescents (10-19),HIV-related Deaths,Nandi,23
Adolescents (10-19),HIV-related Deaths,Nakuru,89
Adolescents (10-19),HIV-related Deaths,Elgeyo Marakwet,9
Adolescents (10-19),HIV-related Deaths,Laikipia,17
Adolescents (10-19),HIV-related Deaths,Kericho,32
Adolescents (10-19),HIV-related Deaths,Kajiado,45
Adolescents (10-19),HIV-related Deaths,Bomet,19
Adolescents (10-19),HIV-related Deaths,Baringo,11
Adolescents (10-19),HIV-related Deaths,Samburu,6
Adolescents (10-19),HIV-related Deaths,Uasin Gishu,58
Adolescents (10-19),HIV-related Deaths,Bungoma,53
Adolescents (10-19),HIV-related Deaths,Kakamega,93
Adolescents (10-19),HIV-related Deaths,Busia,68
Adolescents (10-19),HIV-related Deaths,Vihiga,35
Adolescents (10-19),HIV-related Deaths,Siaya,158
Adolescents (10-19),HIV-related Deaths,Kisii,49
Adolescents (10-19),HIV-related Deaths,Migori,110
Adolescents (10-19),HIV-related Deaths,Kisumu,157
Adolescents (10-19),HIV-related Deaths,Homa Bay,178
Adolescents (10-19),HIV-related Deaths,Nyamira,24
Young Adults (15-24),HIV+,Kenya,184719
Young Adults (15-24),HIV+,Nairobi,24918
Young Adults (15-24),HIV+,Mombasa,4702
Young Adults (15-24),HIV+,Kwale,2181
Young Adults (15-24),HIV+,Kilifi,3732
Young Adults (15-24),HIV+,Lamu,298
Young Adults (15-24),HIV+,Taita Taveta,1154
Young Adults (15-24),HIV+,Tana River,253
Young Adults (15-24),HIV+,Garissa,641
Young Adults (15-24),HIV+,Mandera,219
Young Adults (15-24),HIV+,Wajir,71
Young Adults (15-24),HIV+,Embu,1241
Young Adults (15-24),HIV+,Marsabit,298
Young Adults (15-24),HIV+,Meru,2778
Young Adults (15-24),HIV+,Isiolo,363
Young Adults (15-24),HIV+,Makueni,2845
Young Adults (15-24),HIV+,Kitui,3317
Young Adults (15-24),HIV+,Machakos,3483
Young Adults (15-24),HIV+,Tharaka Nithi,978
Young Adults (15-24),HIV+,Nyeri,1949
Young Adults (15-24),HIV+,Nyandarua,1456
Young Adults (15-24),HIV+,Kiambu,5369
Young Adults (15-24),HIV+,Murang’a,2763
Young Adults (15-24),HIV+,Kirinyaga,1317
Young Adults (15-24),HIV+,West Pokot,668
Young Adults (15-24),HIV+,Turkana,2582
Young Adults (15-24),HIV+,Trans Nzoia,3218
Young Adults (15-24),HIV+,Narok,2033
Young Adults (15-24),HIV+,Nandi,1417
Young Adults (15-24),HIV+,Nakuru,5509
Young Adults (15-24),HIV+,Elgeyo Marakwet,532
Young Adults (15-24),HIV+,Laikipia,1032
Young Adults (15-24),HIV+,Kericho,1949
Young Adults (15-24),HIV+,Kajiado,2764
Young Adults (15-24),HIV+,Bomet,1181
Young Adults (15-24),HIV+,Baringo,653
Young Adults (15-24),HIV+,Samburu,341
Young Adults (15-24),HIV+,Uasin Gishu,3585
Young Adults (15-24),HIV+,Bungoma,3962
Young Adults (15-24),HIV+,Kakamega,6986
Young Adults (15-24),HIV+,Busia,5091
Young Adults (15-24),HIV+,Vihiga,2629
Young Adults (15-24),HIV+,Siaya,16881
Young Adults (15-24),HIV+,Kisii,5193
Young Adults (15-24),HIV+,Migori,11761
Young Adults (15-24),HIV+,Kisumu,16771
Young Adults (15-24),HIV+,Homa Bay,19050
Young Adults (15-24),HIV+,Nyamira,2606
Young Adults (15-24),New Infections,Kenya,17667
Young Adults (15-24),New Infections,Nairobi,2587
Young Adults (15-24),New Infections,Mombasa,562
Young Adults (15-24),New Infections,Kwale,261
Young Adults (15-24),New Infections,Kilifi,446
Young Adults (15-24),New Infections,Lamu,36
Young Adults (15-24),New Infections,Taita Taveta,138
Young Adults (15-24),New Infections,Tana River,30
Young Adults (15-24),New Infections,Garissa,0
Young Adults (15-24),New Infections,Mandera,0
Young Adults (15-24),New Infections,Wajir,0
Young Adults (15-24),New Infections,Embu,112
Young Adults (15-24),New Infections,Marsabit,27
Young Adults (15-24),New Infections,Meru,251
Young Adults (15-24),New Infections,Isiolo,33
Young Adults (15-24),New Infections,Makueni,257
Young Adults (15-24),New Infections,Kitui,299
Young Adults (15-24),New Infections,Machakos,314
Young Adults (15-24),New Infections,Tharaka Nithi,88
Young Adults (15-24),New Infections,Nyeri,265
Young Adults (15-24),New Infections,Nyandarua,198
Young Adults (15-24),New Infections,Kiambu,730
Young Adults (15-24),New Infections,Murang’a,376
Young Adults (15-24),New Infections,Kirinyaga,179
Young Adults (15-24),New Infections,West Pokot,45
Young Adults (15-24),New Infections,Turkana,175
Young Adults (15-24),New Infections,Trans Nzoia,218
Young Adults (15-24),New Infections,Narok,138
Young Adults (15-24),New Infections,Nandi,96
Young Adults (15-24),New Infections,Nakuru,374
Young Adults (15-24),New Infections,Elgeyo Marakwet,36
Young Adults (15-24),New Infections,Laikipia,70
Young Adults (15-24),New Infections,Kericho,132
Young Adults (15-24),New Infections,Kajiado,187
Young Adults (15-24),New Infections,Bomet,80
Young Adults (15-24),New Infections,Baringo,44
Young Adults (15-24),New Infections,Samburu,23
Young Adults (15-24),New Infections,Uasin Gishu,243
Young Adults (15-24),New Infections,Bungoma,338
Young Adults (15-24),New Infections,Kakamega,596
Young Adults (15-24),New Infections,Busia,434
Young Adults (15-24),New Infections,Vihiga,224
Young Adults (15-24),New Infections,Siaya,1641
Young Adults (15-24),New Infections,Kisii,505
Young Adults (15-24),New Infections,Migori,1143
Young Adults (15-24),New Infections,Kisumu,1630
Young Adults (15-24),New Infections,Homa Bay,1852
Young Adults (15-24),New Infections,Nyamira,253
Young Adults (15-24),HIV-related Deaths,Kenya,2830
Young Adults (15-24),HIV-related Deaths,Nairobi,294
Young Adults (15-24),HIV-related Deaths,Mombasa,79
Young Adults (15-24),HIV-related Deaths,Kwale,37
Young Adults (15-24),HIV-related Deaths,Kilifi,63
Young Adults (15-24),HIV-related Deaths,Lamu,5
Young Adults (15-24),HIV-related Deaths,Taita Taveta,19
Young Adults (15-24),HIV-related Deaths,Tana River,4
Young Adults (15-24),HIV-related Deaths,Garissa,36
Young Adults (15-24),HIV-related Deaths,Mandera,12
Young Adults (15-24),HIV-related Deaths,Wajir,4
Young Adults (15-24),HIV-related Deaths,Embu,23
Young Adults (15-24),HIV-related Deaths,Marsabit,6
Young Adults (15-24),HIV-related Deaths,Meru,52
Young Adults (15-24),HIV-related Deaths,Isiolo,7
Young Adults (15-24),HIV-related Deaths,Makueni,53
Young Adults (15-24),HIV-related Deaths,Kitui,62
Young Adults (15-24),HIV-related Deaths,Machakos,65
Young Adults (15-24),HIV-related Deaths,Tharaka Nithi,18
Young Adults (15-24),HIV-related Deaths,Nyeri,28
Young Adults (15-24),HIV-related Deaths,Nyandarua,21
Young Adults (15-24),HIV-related Deaths,Kiambu,77
Young Adults (15-24),HIV-related Deaths,Murang’a,40
Young Adults (15-24),HIV-related Deaths,Kirinyaga,19
Young Adults (15-24),HIV-related Deaths,West Pokot,13
Young Adults (15-24),HIV-related Deaths,Turkana,51
Young Adults (15-24),HIV-related Deaths,Trans Nzoia,63
Young Adults (15-24),HIV-related Deaths,Narok,40
Young Adults (15-24),HIV-related Deaths,Nandi,28
Young Adults (15-24),HIV-related Deaths,Nakuru,108
Young Adults (15-24),HIV-related Deaths,Elgeyo Marakwet,10
Young Adults (15-24),HIV-related Deaths,Laikipia,20
Young Adults (15-24),HIV-related Deaths,Kericho,38
Young Adults (15-24),HIV-related Deaths,Kajiado,54
Young Adults (15-24),HIV-related Deaths,Bomet,23
Young Adults (15-24),HIV-related Deaths,Baringo,13
Young Adults (15-24),HIV-related Deaths,Samburu,7
Young Adults (15-24),HIV-related Deaths,Uasin Gishu,70
Young Adults (15-24),HIV-related Deaths,Bungoma,71
Young Adults (15-24),HIV-related Deaths,Kakamega,126
Young Adults (15-24),HIV-related Deaths,Busia,92
Young Adults (15-24),HIV-related Deaths,Vihiga,47
Young Adults (15-24),HIV-related Deaths,Siaya,218
Young Adults (15-24),HIV-related Deaths,Kisii,67
Young Adults (15-24),HIV-related Deaths,Migori,152
Young Adults (15-24),HIV-related Deaths,Kisumu,216
Young Adults (15-24),HIV-related Deaths,Homa Bay,246
Young Adults (15-24),HIV-related Deaths,Nyamira,34
